pickup_zone_id,pickup_zone,pickup_borough,trips
161,Midtown Center,Manhattan,954875.0
237,Upper East Side South,Manhattan,947082.0
132,JFK Airport,Queens,916774.0
236,Upper East Side North,Manhattan,879901.0
162,Midtown East,Manhattan,701956.0
230,Times Sq/Theatre District,Manhattan,688118.0
142,Lincoln Square East,Manhattan,665241.0
186,Penn Station/Madison Sq West,Manhattan,657209.0
138,LaGuardia Airport,Queens,638759.0
163,Midtown North,Manhattan,584026.0
239,Upper West Side South,Manhattan,583601.0
170,Murray Hill,Manhattan,581942.0
234,Union Sq,Manhattan,543495.0
68,East Chelsea,Manhattan,541450.0
48,Clinton East,Manhattan,517025.0
