day_of_week,hour,trips
0,0,167121.0
0,1,132432.0
0,2,90905.0
0,3,63812.0
0,4,37941.0
0,5,16410.0
0,6,23545.0
0,7,34404.0
0,8,51434.0
0,9,81878.0
0,10,112457.0
0,11,133845.0
0,12,152363.0
0,13,161185.0
0,14,165381.0
0,15,157869.0
0,16,158997.0
0,17,160799.0
0,18,154450.0
0,19,131425.0
0,20,120295.0
0,21,114337.0
0,22,93451.0
0,23,70393.0
1,0,45041.0
1,1,25305.0
1,2,16380.0
1,3,12271.0
1,4,12697.0
1,5,19469.0
1,6,44647.0
1,7,86638.0
1,8,116379.0
1,9,118512.0
1,10,119879.0
1,11,125487.0
1,12,135520.0
1,13,141855.0
1,14,157336.0
1,15,160300.0
1,16,156526.0
1,17,171802.0
1,18,176083.0
1,19,145105.0
1,20,136212.0
1,21,133328.0
1,22,107262.0
1,23,67413.0
2,0,35231.0
2,1,14920.0
2,2,7348.0
2,3,4949.0
2,4,7025.0
2,5,17460.0
2,6,46387.0
2,7,101051.0
2,8,138985.0
2,9,139992.0
2,10,137425.0
2,11,142243.0
2,12,151695.0
2,13,156531.0
2,14,170779.0
2,15,176151.0
2,16,175786.0
2,17,201347.0
2,18,217619.0
2,19,184820.0
2,20,175952.0
2,21,189774.0
2,22,159050.0
2,23,92831.0
3,0,44103.0
3,1,18337.0
3,2,9736.0
3,3,6457.0
3,4,7893.0
3,5,18123.0
3,6,48260.0
3,7,106047.0
3,8,145307.0
3,9,144841.0
3,10,140639.0
3,11,148430.0
3,12,160197.0
3,13,162774.0
3,14,177519.0
3,15,184463.0
3,16,190719.0
3,17,220217.0
3,18,234481.0
3,19,201169.0
3,20,192223.0
3,21,204404.0
3,22,179788.0
3,23,112143.0
4,0,54235.0
4,1,24690.0
4,2,13351.0
4,3,8928.0
4,4,10083.0
4,5,21312.0
4,6,52950.0
4,7,111677.0
4,8,152031.0
4,9,151963.0
4,10,146009.0
4,11,151586.0
4,12,162988.0
4,13,167235.0
4,14,183919.0
4,15,192000.0
4,16,197248.0
4,17,228499.0
4,18,250454.0
4,19,214175.0
4,20,201883.0
4,21,214259.0
4,22,202518.0
4,23,149327.0
5,0,86862.0
5,1,43753.0
5,2,23930.0
5,3,15217.0
5,4,14705.0
5,5,21419.0
5,6,46347.0
5,7,89877.0
5,8,118566.0
5,9,125031.0
5,10,133409.0
5,11,142012.0
5,12,154713.0
5,13,160260.0
5,14,178263.0
5,15,186401.0
5,16,184599.0
5,17,204220.0
5,18,221472.0
5,19,204585.0
5,20,163032.0
5,21,164937.0
5,22,179886.0
5,23,176005.0
6,0,154734.0
6,1,122656.0
6,2,87614.0
6,3,54137.0
6,4,30490.0
6,5,14044.0
6,6,23390.0
6,7,36207.0
6,8,58941.0
6,9,90728.0
6,10,117592.0
6,11,140425.0
6,12,162011.0
6,13,170086.0
6,14,168999.0
6,15,177096.0
6,16,189334.0
6,17,195191.0
6,18,202195.0
6,19,197909.0
6,20,164653.0
6,21,166985.0
6,22,189248.0
6,23,192261.0
